"업체명,전체특허,수주건수,투자단계레벨,SI지분여부,주요수주처_및_기관,SI투자자_명칭,핵심특허_및_기술상세,고객수,수익화준비도,락인강도,확장성,엑싯가시성,데이터출처"
"리벨리온,234,12,5,1,""KT; 광주AI센터; 국방부"",""삼성전자; SK하이닉스; KT"",""NPU아키텍처(85건); 컴파일러(72건); 저전력회로(77건)"",1.2,5.0,5.0,5.0,4.6,""KIPRIS/G2B/TheVC"""
"이노스페이스,85,18,6,1,""브라질공군; 과기부; 해외위성사"",""코오롱글로텍"",""엔진(30건); 비행제어(25건); 탄소탱크(30건)"",1.8,4.6,3.6,4.9,5.0,""DART/KIPRIS/G2B"""
"한컴인스페이스,42,56,6,1,""항연(KARI); 해경; 지자체"",""한컴그룹(M&A)"",""위성관제(15건); 드론자동화(15건); AI탐지(12건)"",5.0,3.5,2.7,2.9,5.0,""G2B/혁신의숲"""
"빈센,54,9,5,1,""울산시; 전남도; 싱가포르선사"",""현대자동차; HD현대(아반트)"",""수소시스템(20건); 전기추진(18건); EMS(16건)"",0.9,3.7,3.2,3.3,4.6,""KIPRIS/TheVC"""
"씨드로닉스,38,24,4,1,""부산항만공사; 인천항만공사"",""HD현대(아반트)"",""상황인식(12건); 이접안지원(10건); 자율제어(16건)"",2.4,3.0,2.5,3.3,4.2,""G2B/KIPRIS"""
"트레드링스,15,31,4,0,""HMM; 현대글로비스; 중기부"",""해당없음"",""공급망가시성(5건); 데이터자동화(10건)"",3.1,3.3,1.8,2.6,1.7,""혁신의숲/G2B"""
"씨벤티지,21,14,3,1,""해상진흥공사; 글로벌선사"",""HMM"",""항로분석(10건); 항만데이터분석(11건)"",1.4,2.5,2.1,3.0,3.8,""KIPRIS/TheVC"""
"밸류링크유,12,22,4,1,""삼성SDS; 판토스; 중진공"",""포스코기술투자; 산업은행"",""플랫폼매칭(5건); GDC운영(7건)"",2.2,3.2,1.8,2.2,4.2,""DART/G2B"""
"스마트큐브,22,45,3,0,""우체국물류; 롯데글로벌로지스"",""해당없음"",""창고최적화(10건); 무인함제어(12건)"",4.5,2.5,2.1,1.9,1.3,""G2B/KIPRIS"""
"심스리얼리티,28,15,3,0,""국방과학연; 교육부; 한전"",""해당없음"",""디지털트윈(15건); VR훈련(13건)"",1.5,2.4,2.3,2.1,1.3,""KIPRIS/G2B"""
"맵시,19,8,2,1,""해군; 해수부; 소형선박"",""임팩트스퀘어; MYSC"",""AR항법(10건); 데이터통신(9건)"",0.8,1.8,2.2,2.5,3.3,""KIPRIS/TheVC"""
"스마트엠투엠,17,34,3,0,""코레일; 도로공사; 지자체"",""해당없음"",""IoT센서(8건); 시설물분석(9건)"",3.4,2.1,1.7,1.7,1.3,""G2B/NICE"""
"(주)이이에스,14,28,3,0,""한전; 에너지공단; 산단공"",""해당없음"",""에너지제어(7건); FEMS플랫폼(7건)"",2.8,2.4,1.8,1.8,1.3,""G2B/KIPRIS"""
"(주)에코마린,23,7,3,0,""해양환경공단; 강원도; 전남도"",""해당없음"",""소재혁신(12건); 선형설계(11건)"",0.7,2.0,2.2,1.8,1.3,""KIPRIS/G2B"""
"코엘트,31,11,1,1,""글로벌항만; 기술보증기금"",""롯데벤처스"",""접이식힌지(15건); 적치구조(16건)"",1.1,1.3,2.2,2.2,2.9,""롯데벤처스/KIPRIS"""
"(주)스피드플로어,12,16,3,0,""쿠팡; CJ대한통운"",""해당없음"",""차량컨베이어(6건); 하역보조(6건)"",1.6,2.0,1.8,1.9,1.3,""G2B/DART"""
"씨라이프,15,2,3,0,""수산과학원; 마트 실증"",""해당없음"",""바이오정제(8건); 저온패키징(7건)"",0.4,1.8,2.0,1.6,1.3,""KIPRIS"""
"portlogics,9,13,2,0,""지자체 배달플랫폼; 식자재유통"",""해당없음"",""라우팅최적화(5건); 배송정보시스템(4건)"",1.3,1.5,1.9,2.5,0.8,""NICE/KIPRIS"""
"(주)지엔테크,11,19,2,0,""국방부; 국정원; 정부청사"",""해당없음"",""보안게이트웨이(6건); 암호화프로토콜(5건)"",1.9,1.4,1.8,2.3,0.8,""G2B/KIPRIS"""
"티투엘,10,12,2,0,""항만공사; 포워더 기업"",""해당없음"",""포워딩관리(5건); 화물추적API(5건)"",1.2,1.3,1.7,2.2,0.8,""G2B"""
"골디락스,6,5,1,0,""해상 포워더 파트너"",""해당없음"",""화물매칭로직(3건); 견적엔진(3건)"",0.5,0.9,1.8,2.4,0.4,""TheVC"""
"(주)슈니테크,8,4,1,0,""예술대; 교육청"",""해당없음"",""소리분석(4건); 악보트래킹(4건)"",0.4,0.8,1.8,2.2,0.4,""KIPRIS"""
"씨너지파트너,5,3,1,0,""창경원; 중기부"",""해당없음"",""기업지표모델(3건); 추천알고리즘(2건)"",0.3,1.0,1.7,2.0,0.4,""NICE"""
