지표명,산출 공식 (변수 명칭 기준),만점 기준 (5.0)
고객수,수주건수 / 50,수주 50건 이상
수익화준비도,(투자단계레벨 / 6 * 2.5) + (매출성장 * 2.5),상장(Lv.6) & 매출성장 100%
락인강도,등록특허 / 100,등록특허 100건 이상
확장성,(범용성점수 / 5 * 2.5) + (해외IP / 30 * 2.5),범용성 5.0 & 해외IP 30건
엑싯가시성,(SI지분여부 * 2.5) + (투자단계레벨 / 6 * 2.5),SI 보유 & 상장 준비(Lv.5~6)
"트레드링스,15,""공급망가시성(5건): 화물 도착 시간(ETA) 예측; 데이터자동화(10건): OCR 기반 물류 서류 분석"",""HMM 공급망 가시성 솔루션(ShipGo) 공급; 현대글로비스 스마트 물류 협업; 중기부 수출 바우처"",""해당없음(VC 위주)"",""Series B""",,
"씨벤티지,21,""항로분석(10건): 기상 대응 경로 최적화; 항만데이터(11건): 항만 혼잡도 실시간 분석 시스템"",""해상진흥공사 해운 시황 데이터 공급; 글로벌 선사 탄소 배출량 모니터링 시스템"",""HMM"",""Series A""",,
"밸류링크유,12,""플랫폼(5건): 선사-화주 매칭 시스템; 통합물류(7건): GDC 운영 알고리즘; 물류 가시성 인프라"",""삼성SDS 협업 플랫폼; 판토스 이커머스 물류망; 중진공 수출 바우처 사업"",""포스코기술투자; 산업은행"",""Series B""",,
"스마트큐브,22,""WMS(10건): 창고 적재 최적화 알고리즘; 제어(12건): 무인 택배함 연동 프로토콜; 자동 피킹 알고리즘"",""우체국물류지원단 무인 택배함; 롯데글로벌로지스 자동화 라인; 국토부 스마트 물류 시범사업"",""해당없음"",""Series A""",,
"심스리얼리티,28,""디지털트윈(15건): 실감형 가상공간 생성 기술; VR훈련(13건): 국방 교육 시뮬레이션; 원격 협업 플랫폼"",""국방과학연구소 가상 훈련장; 교육부 메타버스 교실; 한국전력 발전소 디지털트윈"",""해당없음"",""Series A""",,
"맵시,19,""해상내비(10건): AR 기반 항해 보조 장치; 데이터통신(9건): 선박 간 초고속 데이터 공유 기술"",""대한민국 해군 함정 보조 시스템; 해수부 바다내비 고도화; 소형 선박 안전 보조 장치"",""임팩트스퀘어; MYSC"",""Pre-A""",,
"스마트엠투엠,17,""IoT센서(8건): 지능형 센서 노드 설계; 모니터링(9건): 시설물 거동 분석 알고리즘"",""한국철도공사(KORAIL) 교량 모니터링; 한국도로공사 시설물 감지; 지자체 스마트시티 사업"",""해당없음"",""Series A""",,
"(주)이이에스,14,""에너지제어(7건): ESS 피크 저감 제어; EMS플랫폼(7건): 공장 에너지 관리 시스템(FEMS)"",""한국전력공사 ESS 구축 사업; 한국에너지공단 수요 관리; 산업단지공단 저탄소 인프라"",""해당없음"",""Series A""",,
"(주)에코마린,23,""소재혁신(12건): HDPE 선체 용접 및 성형; 선형설계(11건): 고효율 친환경 선체 구조 설계"",""해양환경공단 친환경 방제선; 강원도 어업 지도선; 지자체 관공선 건조 수주"",""해당없음"",""Series A""",,
"코엘트,31,""물류장비(15건): 접이식 컨테이너 힌지 메커니즘; 적치구조(16건): 하중 분산 및 결합 구조"",""글로벌 항만공사 실증(PoC); 기술보증기금 핵심 기술 선정; 동남아 물류사 파트너십"",""롯데벤처스"",""Seed""",,
"(주)스피드플로어,12,""자동적재(6건): 차량용 컨베이어 시스템; 배송보조(6건): 라스트마일 하역 보조 장치"",""쿠팡 라스트마일 효율화 실증; CJ대한통운 적재 자동화 협업; 특장차 제조사 파트너십"",""해당없음"",""Series A""",,
"씨라이프사이언스랩,15,""바이오(8건): 해양 추출물 정제 공정; 신도유지(7건): 수산물 저온 패키징 기술"",""국립수산과학원 R&D; 해양수산진흥원 과제; 대형마트 신선식품 코너 실증"",""해당없음"",""Series A""",,
"portlogics,9,""물류운영(5건): 라우팅 최적화 플랫폼; 데이터연동(4건): 위치 기반 배송 정보 시스템"",""지자체 공공 배달 플랫폼 물류; 식자재 유통사 라우팅 솔루션 공급"",""해당없음"",""Pre-A""",,
"(주)지엔테크놀로지스,11,""네트워크보안(6건): 보안 게이트웨이; 암호화통신(5건): 무선 보안 암호화 프로토콜"",""국방부 보안 네트워크 구축; 국가정보원 CC인증 제품 공급; 정부 청사 보안 고도화"",""해당없음"",""Pre-A""",,
"티투엘 주식회사,10,""시스템(5건): 포워딩 통합 관리 모듈; 화물추적(5건): 수출입 화물 가시성 API"",""항만공사 정보 시스템 고도화; 정부 물류 IT 고도화 사업단 협업; 중소 포워더 ERP"",""해당없음"",""Pre-A""",,
"골디락스쉬핑,6,""로지스틱스(3건): LCL 화물 매칭 로직; 견적엔진(3건): 실시간 운송비 계산 알고리즘"",""해상 포워더 파트너십; 중소 화주 기업 대상 디지털 포워딩 서비스"",""해당없음"",""Seed""",,
"(주)슈니테크,8,""AI음악(4건): 소리 데이터 분석 엔진; 교육기술(4건): 실시간 악보 트래킹 시스템"",""예술대학교 AI 음악 튜터링; 교육청 스마트 교육 솔루션 공급"",""해당없음"",""Seed""",,
"씨너지파트너(주),5,""빅데이터(3건): 기업 성장 지표 정규화 모델; 추천엔진(2건): 투자 매칭 추천 알고리즘"",""창업진흥원 창업 지원 관리; 중기부 평가 보조 도구; 엑셀러레이터 관리 툴"",""해당없음"",""Seed""",,
