그룹명,날짜,방문수,,,,,,,
감지해변,2025-06-01,652,,,,,,,
감지해변,2025-06-02,538,,,,,,,
감지해변,2025-06-03,549,,,,,,,
감지해변,2025-06-04,379,,,,열 레이블,,,
감지해변,2025-06-05,574,,,,감지해변,봉래물양장갤러리,흰여울문화마을,총합계
감지해변,2025-06-06,710,,,합계 : 방문수,14652,45098,79748,139498
감지해변,2025-06-07,775,,,,,,,
감지해변,2025-06-08,640,,,,,,,
감지해변,2025-06-09,517,,,,,,,
감지해변,2025-06-10,456,,,,,,,
감지해변,2025-06-11,469,,,,,,,
감지해변,2025-06-12,544,,,,,,,
감지해변,2025-06-13,294,,,,,,,
감지해변,2025-06-14,384,,,,,,,
감지해변,2025-06-15,445,,,,,,,
감지해변,2025-06-16,290,,,,,,,
감지해변,2025-06-17,439,,,,,,,
감지해변,2025-06-18,486,,,,,,,
감지해변,2025-06-19,392,,,,,,,
감지해변,2025-06-20,441,,,,,,,
감지해변,2025-06-21,371,,,,,,,
감지해변,2025-06-22,578,,,,,,,
감지해변,2025-06-23,358,,,,,,,
감지해변,2025-06-24,249,,,,,,,
감지해변,2025-06-25,481,,,,,,,
감지해변,2025-06-26,472,,,,,,,
감지해변,2025-06-27,341,,,,,,,
감지해변,2025-06-28,871,,,,,,,
감지해변,2025-06-29,607,,,,,,,
감지해변,2025-06-30,350,,,,,,,
봉래물양장갤러리,2025-06-01,1525,,,,,,,
봉래물양장갤러리,2025-06-02,1425,,,,,,,
봉래물양장갤러리,2025-06-03,1347,,,,,,,
봉래물양장갤러리,2025-06-04,1341,,,,,,,
봉래물양장갤러리,2025-06-05,1476,,,,,,,
봉래물양장갤러리,2025-06-06,1832,,,,,,,
봉래물양장갤러리,2025-06-07,1885,,,,,,,
봉래물양장갤러리,2025-06-08,1492,,,,,,,
봉래물양장갤러리,2025-06-09,1471,,,,,,,
봉래물양장갤러리,2025-06-10,1264,,,,,,,
봉래물양장갤러리,2025-06-11,1558,,,,,,,
봉래물양장갤러리,2025-06-12,1621,,,,,,,
봉래물양장갤러리,2025-06-13,1542,,,,,,,
봉래물양장갤러리,2025-06-14,1687,,,,,,,
봉래물양장갤러리,2025-06-15,1197,,,,,,,
봉래물양장갤러리,2025-06-16,1416,,,,,,,
봉래물양장갤러리,2025-06-17,1443,,,,,,,
봉래물양장갤러리,2025-06-18,1488,,,,,,,
봉래물양장갤러리,2025-06-19,1595,,,,,,,
봉래물양장갤러리,2025-06-20,1512,,,,,,,
봉래물양장갤러리,2025-06-21,1416,,,,,,,
봉래물양장갤러리,2025-06-22,1382,,,,,,,
봉래물양장갤러리,2025-06-23,1456,,,,,,,
봉래물양장갤러리,2025-06-24,1407,,,,,,,
봉래물양장갤러리,2025-06-25,1549,,,,,,,
봉래물양장갤러리,2025-06-26,1535,,,,,,,
봉래물양장갤러리,2025-06-27,1733,,,,,,,
봉래물양장갤러리,2025-06-28,1507,,,,,,,
봉래물양장갤러리,2025-06-29,1495,,,,,,,
봉래물양장갤러리,2025-06-30,1501,,,,,,,
흰여울문화마을,2025-06-01,2764,,,,,,,
흰여울문화마을,2025-06-02,2681,,,,,,,
흰여울문화마을,2025-06-03,2494,,,,,,,
흰여울문화마을,2025-06-04,2654,,,,,,,
흰여울문화마을,2025-06-05,2919,,,,,,,
흰여울문화마을,2025-06-06,3042,,,,,,,
흰여울문화마을,2025-06-07,3299,,,,,,,
흰여울문화마을,2025-06-08,3570,,,,,,,
흰여울문화마을,2025-06-09,2708,,,,,,,
흰여울문화마을,2025-06-10,2663,,,,,,,
흰여울문화마을,2025-06-11,2746,,,,,,,
흰여울문화마을,2025-06-12,2727,,,,,,,
흰여울문화마을,2025-06-13,2696,,,,,,,
흰여울문화마을,2025-06-14,2173,,,,,,,
흰여울문화마을,2025-06-15,2407,,,,,,,
흰여울문화마을,2025-06-16,2472,,,,,,,
흰여울문화마을,2025-06-17,2613,,,,,,,
흰여울문화마을,2025-06-18,2788,,,,,,,
흰여울문화마을,2025-06-19,2820,,,,,,,
흰여울문화마을,2025-06-20,2494,,,,,,,
흰여울문화마을,2025-06-21,2242,,,,,,,
흰여울문화마을,2025-06-22,2389,,,,,,,
흰여울문화마을,2025-06-23,2702,,,,,,,
흰여울문화마을,2025-06-24,2271,,,,,,,
흰여울문화마을,2025-06-25,2388,,,,,,,
흰여울문화마을,2025-06-26,2596,,,,,,,
흰여울문화마을,2025-06-27,2666,,,,,,,
흰여울문화마을,2025-06-28,2647,,,,,,,
흰여울문화마을,2025-06-29,2539,,,,,,,
흰여울문화마을,2025-06-30,2578,,,,,,,
